"НГУ",Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),"Національна гвардія України",no
"ДПС",Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),"Державна прикордонна служба України",no
"ДСНС України",Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),"Державна служба України з надзвичайних ситуацій",no
"СБУ",Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),"Служба безпеки України",no
"СЗР",Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),"Служба зовнішньої розвідки",no
"УДО",Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),"Управління державної охорони України",no
"ДССЗЗІ",Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),"Державна служба спеціального зв’язку та захисту інформації України",no
"ДССТ",Інші військові формування та правоохоронні органи держави (ІВФ і ПОД),"Державна спеціальна служба транспорту Міністерства інфраструктури України",no

"КП (ЗКП)",Пункти управління,"Командний (запасний командний) пункт",no
"ПУЛ",Пункти управління,"Пункт управління логістики",no
"ПвПУ",Пункти управління,"Повітряний пункт управління",no
"ППУ",Пункти управління,"Пересувний пункт управління",no
"РПУ",Пункти управління,"Рухомий пункт управління",no
"ДПУ",Пункти управління,"Допоміжний пункт управління",no
"СП",Пункти управління,"Спостережний пункт",no
"КСП",Пункти управління,"Командно-спостережний пункт",no
"ПСП",Пункти управління,"Передовий спостережний пункт",no
"ТКП",Пункти управління,"Тиловий командний пункт",no
"ТПУ",Пункти управління,"Тиловий пункт управління",no
"СКП",Пункти управління,"Спільний командний пункт",no
"ПУЗ",Пункти управління,"Пункт управління зв’язком",no
"ПНА",Пункти управління,"Пункт наведення авіації",no

"Ав (Ар)",Термінологія загального призначення,"Авангард (ар'єргард)",no
"АБ",Термінологія загального призначення,"Автомобільний бензин",no
"БЗп (БПБ, БПП)",Термінологія загального призначення,"Батальйонний заправний пункт (пункт боєпостачання, продовольчий пункт)",no
"БЗ (БЗар), ХЗ (ХЗар), ЯЗ, РЗар",Термінологія загального призначення,"Біологічна, хімічна зброя (зараження), ядерна зброя, радіоактивне зараження",no
"БЗ",Термінологія загального призначення,"Біологічні засоби",no
"БМД",Термінологія загального призначення,"Бойова машина десантна",no
"БМ (БМП)",Термінологія загального призначення,"Бойова машина (піхоти)",no
"БРМ (БРДМ)",Термінологія загального призначення,"Бойова розвідувальна (броньована розвідувальна дозорна) машина",no
"БТР (БТР-Д)",Термінологія загального призначення,"Бронетранспортер (десантний)",no
"Бк",Термінологія загального призначення,"Бойовий комплект",no
"БРД (РД)",Термінологія загального призначення,"Бойовий розвідувальний (розвідувальний) дозор",no
"БПЗ (ГПЗ, ТПЗ)",Термінологія загального призначення,"Бокова (головна, тильна) похідна застава",no
"БнГ",Термінологія загального призначення,"Бронегрупа",no
"БТР",Термінологія загального призначення,"Бронетранспортер",no
"ВР",Термінологія загального призначення,"Вибухові речовини",no
"ВТЗ",Термінологія загального призначення,"Високоточна зброя",no
"(викл.)",Термінологія загального призначення,"Виключно",no
"Вих. р-ж (вих. п.)",Термінологія загального призначення,"Вихідний рубіж (пункт)",no
"ВЗас (РЗас)",Термінологія загального призначення,"Вогнева (розвідувальна) засада",no
"Вп (Сп)",Термінологія загального призначення,"Вогнева (стартова) позиція",no
"ВЗ",Термінологія загального призначення,"Вузол зв'язку",no
"вис.",Термінологія загального призначення,"Висота",no
"ГД",Термінологія загального призначення,"Головний дозор",no
"ГРозг (ГРозм)",Термінологія загального призначення,"Група розгородження (розмінування)",no
"ДРГ",Термінологія загального призначення,"Диверсійно-розвідувальна група",no
"ДВМП",Термінологія загального призначення,"Дистанційно встановлене мінне поле",no
"ДВід (ДТ)",Термінологія загального призначення,"Дозорне відділення (танк)",no
"д/д",Термінологія загального призначення,"Добова дача",no
"ДВС (ДФС)",Термінологія загального призначення,"Довгочасна вогнева (фортифікаційна) споруда",no
"ЗЛН",Термінологія загального призначення,"Загін ліквідації наслідків",no
"ЗпЗ (ЗпЗас)",Термінологія загального призначення,"Запалювальна зброя (запалювальні засоби)",no
"запр",Термінологія загального призначення,"Заправлення",no
"ЗЗМУ",Термінологія загального призначення,"Захист від зброї масового ураження",no
"ЗагРез (ПТРез, ПДРез)",Термінологія загального призначення,"Загальновійськовий (протитанковий, протидесантний) резерв",no
"ЗВ",Термінологія загального призначення,"Зосереджений вогонь",no
"ЗРЗ",Термінологія загального призначення,"Зона радіоактивного зараження",no
"ЗКУ (ЗСУ)",Термінологія загального призначення,"Зенітна кулеметна (самохідна) установка",no
"ЗКР",Термінологія загального призначення,"Зенітна керована ракета",no
"ЗРК (ЗГРК)",Термінологія загального призначення,"Зенітний ракетний (гарматно-ракетний) комплекс",no
"ІСП (ПРХБС)",Термінологія загального призначення,"Інженерний спостережний пост (пост радіаційного, хімічного, біологічного спостереження)",no
"Кт",Термінологія загального призначення,"Кілотонна",no
"КШМ",Термінологія загального призначення,"Командно-штабна машина",no
"компл.",Термінологія загального призначення,"Комплект",no
"КПП",Термінологія загального призначення,"Контрольно-перепускний пункт",no
"МВ",Термінологія загального призначення,"Масований вогонь",no
"МПР",Термінологія загального призначення,"Медичний пост роти",no
"МВЗ",Термінологія загального призначення,"Мінно-вибухове загородження",no
"МДес (ТакПД)",Термінологія загального призначення,"Морський (тактичний повітряний) десант",no
"НЗВ (РЗВ)",Термінологія загального призначення,"Нерухомий (рухомий) загороджувальний вогонь",no
"НЗ (НПЗ)",Термінологія загального призначення,"Недоторканний (не понижуючий) запас",no
"ОбЗ (РейдЗ, СпЗ)",Термінологія загального призначення,"Обхідний (рейдовий, спеціальний) загін",no
"окол., позн., окр.",Термінологія загального призначення,"Околиця, позначка, окремий",no
"ОР (СОР, НОР)",Термінологія загального призначення,"Отруйні речовини (стійкі, нестійкі)",no
"ПЗ (РЗ)",Термінологія загального призначення,"Передовий (розвідувальний) загін",no
"ПДесЗ",Термінологія загального призначення,"Переправно-десантні засоби",no
"ПДес",Термінологія загального призначення,"Повітряний десант",no
"ППЗ",Термінологія загального призначення,"Польовий пункт заправки",no
"ПЗВ",Термінологія загального призначення,"Послідовне зосередження вогню",no
"пр-к",Термінологія загального призначення,"Противник",no
"ППО  (ПТО)",Термінологія загального призначення,"Протиповітряна (протитанкова) оборона",no
"ППМП  (ПТМП)",Термінологія загального призначення,"Протипіхотне (протитанкове) мінне поле",no
"ПТКР  (ПТРК)",Термінологія загального призначення,"Протитанкова керована ракета (ракетний комплекс)",no
"ІРД, РРД, ХРД, БРД",Термінологія загального призначення,"Розвідувальні дозори:(інженерний, радіаційний, хімічний, біологічний)",no
"РЗЗ",Термінологія загального призначення,"Рухомий загін загороджень",no
"РРБК(РРРК, РРВК)",Термінологія загального призначення,"Рубіж розгортання в батальйонні (ротні, взводні) колони",no
"півн., півд., сх., зах.",Термінологія загального призначення,"Північний, південний, східний, західний,",no
"півн.-зах., півн.-сх.,",Термінологія загального призначення,"північно-західний, північно-східний,",no
"півд.-зах., півд.-сх.",Термінологія загального призначення,"південно-західний,південно-східний",no
"п. рег. (р-ж рег.)",Термінологія загального призначення,"Пункт (рубіж) регулювання",no
"ПуСО",Термінологія загального призначення,"Пункт спеціальної обробки",no
"ПТС (ПТД)",Термінологія загального призначення,"Пункт технічного спостереження (допомоги)",no
"РХР",Термінологія загального призначення,"Радіаційна, хімічна розвідка",no
"РадР",Термінологія загального призначення,"Радіоактивні речовини",no
"р/н (р/м)",Термінологія загального призначення,"Радіонапрямок (радіомережа)",no
"РВК (РУК)",Термінологія загального призначення,"Розвідувально-вогневий (розвідувально-ударний) комплекс",no
"РЗ",Термінологія загального призначення,"Розвідувальний загін",no
"розмежлінія",Термінологія загального призначення,"Розмежувальна лінія",no
"РЕБ (РЕЗ)",Термінологія загального призначення,"Радіоелектронна боротьба (захист)",no
"РЕЗас",Термінологія загального призначення,"Радіоелектронні засоби",no
"р-н",Термінологія загального призначення,"Район",no
"РХЗ, РБЗ",Термінологія загального призначення,"Район хімічного, біологічного зараження",no
"РемГ (РЕГ)",Термінологія загального призначення,"Ремонтна (ремонтно-евакуаційна) група",no
"СтЗ (СтЗаст, СтП)",Термінологія загального призначення,"Сторожовий загін (застава, пост)",no
"СДМ",Термінологія загального призначення,"Система дистанційного мінування",no
"МТУ",Термінологія загального призначення,"Танковий мостоукладальник",no
"ТНН",Термінологія загального призначення,"Танконебезпечний напрямок",no
"ТО",Термінологія загального призначення,"Технічне обслуговування",no
"УР",Термінологія загального призначення,"Удаваний район",no
"ОТЦ (ОТП)",Термінологія загального призначення,"Оманна теплова ціль («пастка»)",no
"ХФ",Термінологія загального призначення,"Хімічний фугас",no
"""Ч""",Термінологія загального призначення,"Час початку дій: виходу на передній край оборони противника, викидання (висадки) десанту, початку форсування...",no
"ШЗ (ШГ)",Термінологія загального призначення,"Штурмовий загін (група)",no
